# run: /home/tulay/桌面/t800-urkl-tracker/lens110RL/lens110/legged_lab_lbot/logs/rsl_rl/lens110_deepmimic/2026-09-01_11-59-20
# checkpoints: 168
# saved size each: 5992072 bytes
iteration	file	size_bytes	reward	ep_seconds	finish_percent	rootdev_percent	badorient_percent	basecontact_percent
7800	model_7800.pt	5992072	47.61	30.63	72.5	24.8	0.0	2.7
7900	model_7900.pt	5992072	45.83	29.36	72.2	24.3	0.0	3.6
8000	model_8000.pt	5992072	47.26	29.96	71.4	25.6	0.0	3.0
8100	model_8100.pt	5992072	47.48	29.97	68.7	26.6	0.0	4.7
8200	model_8200.pt	5992072	49.25	31.11	71.2	25.4	0.0	3.4
8300	model_8300.pt	5992072	47.61	30.05	69.3	28.5	0.0	2.1
8400	model_8400.pt	5992072	44.73	28.27	67.6	28.3	0.0	4.1
8500	model_8500.pt	5992072	44.28	27.87	68.5	28.6	0.0	2.9
8600	model_8600.pt	5992072	48.43	30.25	70.2	26.4	0.0	3.4
8700	model_8700.pt	5992072	50.37	31.42	71.7	24.5	0.0	3.8
8800	model_8800.pt	5992072	50.46	31.43	74.1	22.1	0.0	3.9
8900	model_8900.pt	5992072	47.48	29.39	73.3	23.0	0.0	3.7
9000	model_9000.pt	5992072	46.52	28.78	72.7	22.9	0.0	4.3
9100	model_9100.pt	5992072	51.75	32.12	72.1	23.2	0.0	4.7
9200	model_9200.pt	5992072	50.55	31.28	76.4	20.6	0.0	3.1
9300	model_9300.pt	5992072	47.67	29.49	76.0	20.9	0.0	3.1
9400	model_9400.pt	5992072	48.24	29.71	73.4	23.3	0.0	3.3
9500	model_9500.pt	5992072	47.80	29.54	69.3	27.1	0.0	3.6
9600	model_9600.pt	5992072	50.90	31.34	72.6	22.9	0.0	4.5
9700	model_9700.pt	5992072	51.83	31.76	73.8	23.1	0.0	3.0
9800	model_9800.pt	5992072	48.47	29.72	72.2	24.9	0.0	2.9
9900	model_9900.pt	5992072	47.66	29.30	66.7	29.9	0.0	3.4
10000	model_10000.pt	5992072	48.07	29.42	66.5	28.4	0.0	5.0
10100	model_10100.pt	5992072	51.58	31.60	68.3	26.8	0.0	4.9
10200	model_10200.pt	5992072	48.15	29.71	71.1	24.9	0.0	4.0
10300	model_10300.pt	5992072	46.75	28.68	70.4	27.1	0.0	2.5
10400	model_10400.pt	5992072	48.00	29.53	68.1	28.7	0.0	3.1
10500	model_10500.pt	5992072	49.39	30.37	66.5	31.2	0.0	2.3
10600	model_10600.pt	5992072	48.17	29.67	66.1	30.0	0.0	3.9
10700	model_10700.pt	5992072	45.20	27.86	68.7	28.2	0.0	3.1
10800	model_10800.pt	5992072	48.15	29.69	69.5	25.9	0.0	4.6
10900	model_10900.pt	5992072	48.68	29.96	72.1	25.2	0.0	2.7
11000	model_11000.pt	5992072	50.91	31.33	72.4	25.0	0.0	2.6
11100	model_11100.pt	5992072	50.42	31.14	71.5	23.0	0.0	5.4
11200	model_11200.pt	5992072	48.92	30.07	74.0	22.8	0.0	3.2
11300	model_11300.pt	5992072	50.98	31.13	73.3	23.2	0.0	3.4
11400	model_11400.pt	5992072	49.82	30.36	74.4	21.9	0.0	3.7
11500	model_11500.pt	5992072	51.00	31.13	71.9	24.2	0.0	3.9
11600	model_11600.pt	5992072	53.22	32.52	74.3	21.1	0.0	4.6
11700	model_11700.pt	5992072	51.07	31.10	75.1	21.0	0.0	3.9
