-0.5901374465,0.1730039689,0.6418630951,-0.01489233956,-0.02891039381,-0.6941239208,0.719120567,0.1421772777,0.2632980313,0.2682743822,-0.08091449546,0.01231444349,-0.09149417691,0.1527036457,-0.353473789,-0.3479387827,-0.07664676161,-0.007547664609,0.153279621,-0.000420584032,0.2211374816,1.07602707,-0.8198926929,-1.042733745,0.8786131945,-0.978305934,0.385338004,-1.097525413,
-0.5901153084,0.1730337718,0.6411272814,-0.01713106112,-0.0334379944,-0.7017060503,0.7114752604,0.1560867519,0.2619997174,0.2845867621,-0.08344678464,0.01037710345,-0.09271478905,0.1538409108,-0.3546692166,-0.3316913151,-0.07639914752,-0.00541872203,0.1524897858,0.0153067077,0.2208186253,1.073659614,-0.8237311425,-1.038380999,0.8838953721,-0.9792196324,0.3849021787,-1.095601345,
-0.5901354204,0.1730805377,0.6411520259,-0.01715679206,-0.03333711123,-0.7016640359,0.7115208094,0.1562701989,0.262120265,0.2849016123,-0.08373884442,0.01035695724,-0.09238761459,0.1536983808,-0.3544512265,-0.3315459828,-0.07639011643,-0.005229268742,0.1520466798,0.01572574732,0.2216947809,1.073730621,-0.8240777425,-1.038427433,0.8850660116,-0.9785943586,0.3845163887,-1.095046415,
-0.590188668,0.1731245542,0.6411297046,-0.01710525251,-0.03322281748,-0.7015766172,0.7116135925,0.1559116853,0.2623510354,0.2845913691,-0.08397705699,0.01068976742,-0.09259760261,0.1534442549,-0.3542062863,-0.3318424379,-0.07642720376,-0.005356412641,0.1519914611,0.01533544934,0.2232413843,1.073607391,-0.8232915861,-1.038430911,0.8854048117,-0.9785459635,0.3849759459,-1.094870006,
-0.5902569615,0.1731691982,0.6411115713,-0.01701906838,-0.03309424662,-0.7014060281,0.7117897905,0.1554505483,0.262522844,0.2842400288,-0.08422767029,0.01115378922,-0.09266347954,0.1532070571,-0.3539945154,-0.3320932024,-0.0764843209,-0.005333114394,0.151688359,0.01497383144,0.2251099564,1.073204846,-0.8231325201,-1.038678883,0.8859221609,-0.9778977605,0.383941996,-1.094654693,
-0.5903219902,0.1732010288,0.6411007214,-0.01698259601,-0.03296889337,-0.7013062233,0.7118948129,0.1550789906,0.2627096747,0.2839290694,-0.08442754341,0.01154733434,-0.09286232835,0.1529902703,-0.3537574797,-0.3323700462,-0.07653142527,-0.005228610493,0.1514422292,0.01483867566,0.2264772793,1.07291056,-0.8235997702,-1.039301332,0.8864800996,-0.977099755,0.382586135,-1.094408928,
-0.5903896997,0.1732101469,0.641088236,-0.01689618576,-0.03284052955,-0.7012488451,0.7119593217,0.1547311599,0.2629278502,0.2837545122,-0.0846869372,0.01152850554,-0.09290153014,0.1527785459,-0.3534904758,-0.3326135906,-0.07660053623,-0.005311100429,0.1510289978,0.01460128951,0.226968673,1.072522165,-0.8246329917,-1.039738914,0.8865396278,-0.9770244596,0.3821556227,-1.094338136,
-0.5904813414,0.1732292384,0.6410228911,-0.01682491607,-0.03280382604,-0.7012177902,0.7119932878,0.1545228814,0.2631891493,0.2837332469,-0.08488842016,0.01226027234,-0.09305489788,0.1525880407,-0.3532150911,-0.3328437063,-0.07664034956,-0.00509372209,0.1506920718,0.01428283869,0.2272908582,1.072262984,-0.8248531843,-1.039676617,0.8857920861,-0.9772384518,0.3826395293,-1.094144728,
-0.5905612877,0.1732423788,0.641030856,-0.01687138006,-0.0325949421,-0.7012889331,0.7119317092,0.1543867214,0.2635993545,0.2836919185,-0.08509941765,0.0126853105,-0.09304647546,0.1522700566,-0.3527481433,-0.3328422295,-0.07663991363,-0.004843309871,0.1506161399,0.01419623913,0.2275729775,1.072384379,-0.8249854147,-1.039721519,0.884659182,-0.9774019236,0.3837573624,-1.094119189,
-0.5906555271,0.1732587868,0.64101488,-0.01691453247,-0.03251575626,-0.7012830705,0.7119400812,0.1542852938,0.2639439782,0.2835383623,-0.08520602605,0.01279270157,-0.09332559819,0.1521057595,-0.3524041666,-0.3330314904,-0.07658735939,-0.004673960986,0.1504862311,0.01403382033,0.2275506169,1.072767848,-0.8252658648,-1.039853472,0.8835795815,-0.9770967475,0.3842048028,-1.093805092,
